hideSl. No:,Constituency,UDF candidate,Party,Votes,LDF candidate,Party,Votes,BJP+ candidate,Votes,Winner,Margin,Winning alliance,State,Year
104,Alappuzha,P. J. Mathew,INC,59515,Thomas Isaac,CPI(M),75857,Kottaram Unnikrishnan,3540,Thomas Isaac,16342,LDF,Kerala,2011
105,Ambalappuzha,M. Liju,INC,47148,G. Sudhakaran,CPI(M),63728,P.K. Vasudevan,2668,G. Sudhakaran,16580,LDF,Kerala,2011
106,Kuttanad,K.C. Joseph,KC(M),52039,Thomas Chandy,NCP,60010,K. Soman,4395,Thomas Chandy,7971,LDF,Kerala,2011
107,Haripad,Ramesh Chennithala,INC,67378,G. Krishnaprasad,CPI,61858,Ajith Shanker,3145,Ramesh Chennithala,5520,UDF,Kerala,2011
108,Kayamkulam,M. Murali,INC,66094,C. K. Sadasivan,CPI(M),67409,T.O. Noushad,3083,C.K. Sadasivan,1315,LDF,Kerala,2011
109,Mavelikkara (SC),K. K. Shaju,JSS,60754,R. Rajesh,CPI(M),65903,S. Girija,4984,R. Rajesh,5149,LDF,Kerala,2011
110,Chengannur,P. C. Vishnunath,INC,65156,C. S. Sujatha,CPI(M),52656,B. Radhakrishnan Menon,6062,P. C. Vishnunath,12500,UDF,Kerala,2011
111,Thiruvalla,Victor T. Thomas,KC(M),52522,Mathew T. Thomas,JD(S),63289,Rajan Moolaveetil,7656,Mathew T. Thomas,10767,LDF,Kerala,2011
112,Ranni,Peelipose Thomas,INC,51777,Raju Abraham,CPI(M),58391,Suresh Kadambari,7442,Raju Abraham,6614,LDF,Kerala,2011
113,Aranmula,K. Sivadasan Nair,INC,64845,K. C. Rajagopal,CPI(M),58334,K. Haridas,10227,K. Sivadasan Nair,6511,UDF,Kerala,2011
114,Konni,Adoor Prakash,INC,65724,M. S. Rajendran,CPI(M),57950,V.S. Harish Chandran,5994,Adoor Prakash,7774,UDF,Kerala,2011
115,Adoor (SC),Pandalam Sudhakaran,INC,62894,Chittayam Gopakumar,CPI,63501,K K Sasi,6210,Chittayam Gopakumar,607,LDF,Kerala,2011
116,Karunagapally,Rajan Babu,JSS,54564,C. Divakaran,CPI,69086,M. Suresh,5097,C. Divakaran,14522,LDF,Kerala,2011
117,Chavara,Shibu Baby John,RSP(B),65002,N. K. Premachandran,RSP,58941,Nalini Sankaramankalam,2026,Shibu Baby John,6061,UDF,Kerala,2011
118,Kunnathur (SC),P. K. Ravi,INC,59835,Kovoor Kunjumon,RSP,71923,Raji Prasad,5949,Kovoor Kunjumon,12088,LDF,Kerala,2011
119,Kottarakkara,N N Murali,KC(B),53477,P. Ayisha Potty,CPI(M),74069,Vayakkal Madhu,6370,P. Ayisha Potty,20592,LDF,Kerala,2011
120,Pathanapuram,K. B. Ganesh Kumar,KC(B),71421,K. Rajagopal,CPI(M),51019,Subhash Pattazhi,2839,K. B. Ganesh Kumar,20402,UDF,Kerala,2011
121,Punalur,Johnson Abraham,INC,54643,K. Raju,CPI,72648,B. Radhamany,4155,K. Raju,18005,LDF,Kerala,2011
122,Chadayamangalam,Shahida Kamal,INC,47607,Mullakkara Ratnakaran,CPI,71231,Saju Kumar,4160,Mullakara Ratnakaran,23624,LDF,Kerala,2011
123,Kundara,P. Jeramias,INC,52342,M. A. Baby,CPI(M),67135,Vellimon Dileep,5990,M.A. Baby,14793,LDF,Kerala,2011
124,Kollam,K. C. Rajan,INC,49446,P. K. Gurudasan,CPI(M),57986,G. Hari,4207,P. K. Gurudasan,8540,LDF,Kerala,2011
125,Eravipuram,P. K. K. Bava,IUML,43259,A. A. Azeez,RSP,51271,Pattathanam Babu,5048,A. A. Azeez,8012,LDF,Kerala,2011
126,Chathannoor,Bindhu Krishna,INC,47598,G S Jayalal,CPI,60187,"Kizhakkanela
Sudhakaran",3839,G S Jayalal,12589,LDF,Kerala,2011
127,Varkala,Varkala Kahar,INC,57755,A.A. Rahim,CPI(M),47045,Elakamon Sateeshan,3430,Varkala Kahar,10710,UDF,Kerala,2011
128,Attingal (SC),Thankamani Divakaran,INC,33493,Adv. B. Sathyan,CPI(M),63558,P. P. Vava,4844,B. Sathyan,30065,LDF,Kerala,2011
129,Chirayinkeezhu (SC),K. Vidhyadharan,INC,47376,V. Sasi,CPI(M),59601,Athiyoor Surendran,2078,V. Sasi,12225,LDF,Kerala,2011
130,Nedumangad,Palode Ravi,INC,59789,P. Ramachandran Nair,CPI(M),54759,K. S. Anjana,5971,Palode Ravi,5030,UDF,Kerala,2011
131,Vamanapuram,C. Mohanachandran,INC,55145,Koliyakkod Krishnan Nair,CPI(M),57381,Karrettu Sivaprasad,5228,Koliyakkod Krishnan Nair,2236,LDF,Kerala,2011
132,Kazhakoottam,M. A. Wahid,INC,50787,C. Ajayakumar,CPI(M),48591,J.R. Padmakumar,7508,M. A. Wahid,2196,UDF,Kerala,2011
133,Vattiyoorkavu,K. Muraleedharan,INC,56531,Cherian Philip,Independent,40364,V.V. Rajesh,13494,K. Muraleedharan,16167,UDF,Kerala,2011
134,Thiruvananthapuram,V. S. Sivakumar,INC,49122,V. Surendran Pillai,KC(T),43770,B.K. Shekar,11519,V. S. Sivakumar,5352,UDF,Kerala,2011
135,Nemom,Charupara Ravi,SJD,20248,V. Sivankutty,CPI(M),50076,O. Rajagopal,43661,V. Sivankutty,6415,LDF,Kerala,2011
136,Aruvikkara,G. Karthikeyan,INC,56797,Ambalathara Sreedharan Nair,RSP,46123,C. Sivankutty,7694,G. Karthikeyan,10674,UDF,Kerala,2011
137,Parassala,A. T. George,INC,60578,Aanavoor Nagappan,CPI(M),60073,S. Suresh,10310,A. T. George,505,UDF,Kerala,2011
138,Kattakkada,N. Sakthan,INC,52368,Jaya Dali,Independent,39452,P. K. Krishna Das,22550,N. Sakthan,12916,UDF,Kerala,2011
139,Kovalam,George Merciar,INC,52305,Jameela Prakasam,JD(S),59510,Venganoor Satish,9127,Jameela Prakasam,7205,LDF,Kerala,2011
140,Neyyattinkara,Thambanoor Ravi,INC,48009,R. Selvaraj,CPI(M),54711,Athiyannur Sreekumar,6730,B. Selvaraj,6702,LDF,Kerala,2011
